,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,29570,2427252,314,video_vp9,svc,2,2,28000.0,0.0,0.0,0.0,10.959122,0.317621,0.941813,16.138,27.045,44.79668100000005,0,11.746176,251,758,460,9
281,15850,389994,315,video_vp9,simulcast,0,0,28000.0,11903.528076171875,42.51260027204241,5896.471923828125,0.373855,0.180057,0.250027,12.168,26.095,41.244543,0,0.6340319999999999,96,58,96,4
281,23230,551913,316,video_vp9,simulcast,0,1,27999.0,11124.197021484375,39.730694030088124,2875.802978515625,1.605689,0.2742719999999999,0.4556179999999999,10.847,26.144,33.079354,0,2.084449,197,123,197,4
281,27612,897486,317,video_vp9,simulcast,0,2,27999.0,18599.0,66.42737240615736,0.0,12.231878,0.498158,1.393216,0.0,28.042,1.2225319999999975,0,13.710805,766,0,767,0
281,22111,934277,318,video_vp9,simulcast,1,0,28000.0,4618.0,16.492857142857144,9382.0,4.688019,1.0261,0.962752,9.382,26.707,30.56869900000001,0,5.695473,408,35,408,3
281,24931,1195176,319,video_vp9,simulcast,1,1,28000.0,4646.0,16.59285714285714,9354.0,5.495253,1.157533,1.09369,9.354,26.81,30.068172000000008,0,6.639968,433,75,433,3
281,27114,1407886,32,video_vp9,simulcast,1,2,28000.0,3798.0,13.564285714285715,402.0,8.819106999999999,1.39141,1.986739,0.402,26.351,2.015400999999999,0,10.871147,546,22,546,2
281,27034,1426559,320,video_vp9,simulcast,1,2,28000.0,0.0,0.0,0.0,7.355605,1.479384,1.013349,9.185,26.776,23.754084,0,8.41795,415,160,415,5
281,26649,1567402,321,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,6.863119999999999,1.481151,1.397626,7.395,28.026,21.105936000000035,0,8.317169,512,132,514,5
281,26696,1455895,322,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,6.639875,1.484765,1.557759,5.154,28.029,12.376252999999991,0,8.255142,522,88,523,6
281,26546,1351937,323,video_vp9,simulcast,2,2,28000.0,0.0,0.0,0.0,6.185121,1.125655,1.383239,6.974,26.907,21.05984900000003,0,7.623251,480,74,480,3
281,14514,303475,324,video_av1,svc,0,0,28000.0,27800.0,99.28571428571429,0.0,6.675961999999999,0.992994,0.1966989999999999,0.0,17.929,2.5418389999999995,0,6.894266,133,0,133,0
281,18316,381962,325,video_av1,svc,0,1,28000.0,26278.0,93.85,522.0,18.514289,1.251514,0.3568989999999999,0.522,17.9,1.4297399999999985,0,18.901865,256,1,257,2
281,19845,491086,326,video_av1,svc,0,2,28000.0,23538.0,84.06428571428572,262.0,33.644164,1.096885,0.625594,0.262,17.584,0.8879080000000006,0,34.313098,495,1,496,1
281,18303,631200,327,video_av1,svc,1,0,28000.0,9902.950927734375,35.367681884765624,12697.049072265625,5.502268,0.873586,0.1766829999999999,13.239,17.746,41.021006,0,5.692214,117,123,149,6
Unnamed 73,20709,830078,328,video_av1,svc,1,1,28000.0,9763.9990234375,34.87142508370536,12836.0009765625,6.366395,0.69239,0.193066,13.312,18.218,41.668922,0,6.558173,125,235,182,6
Unnamed 74,20245,1021918,329,video_av1,svc,1,2,28000.0,0.0,0.0,0.0,6.517009,0.844966,0.175175,13.416,17.94,41.541386,0,6.706827,121,446,214,6
281,26522,1464520,33,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,5.991293,1.16106,1.515923,6.939,26.643,20.873217000000032,0,7.563013,489,67,491,5
281,19591,1008801,330,video_av1,svc,2,0,28000.0,0.0,0.0,0.0,4.584768,0.989834,0.1809589999999999,13.223,17.772,41.080602,0,4.786036999999999,123,360,192,6
281,20955,1018620,331,video_av1,svc,2,1,28000.0,0.0,0.0,0.0,4.579536,0.982251,0.1821779999999999,13.04,17.72,41.24741,0,4.777239,123,449,215,5
281,20266,948293,332,video_av1,svc,2,2,28000.0,0.0,0.0,0.0,6.908137,0.933403,0.185244,13.19,17.727,40.570457,0,7.092530999999999,123,343,181,6
Unnamed 75,17051,462022,333,video_av1,simulcast,0,0,28000.0,20800.0,74.28571428571429,0.0,0.832962,0.6628499999999999,0.3607849999999999,0.0,27.725,4.333032999999998,0,1.220567,186,0,186,0
Unnamed 76,24591,581356,334,video_av1,simulcast,0,1,28000.0,12600.0,45.0,0.0,5.723859,0.774999,0.613248,0.0,27.677,2.345219000000001,0,6.387461999999999,365,0,366,0
Unnamed 77,27549,865693,335,video_av1,simulcast,0,2,28000.0,4800.0,17.142857142857142,0.0,14.116774,1.029673,1.092251,0.0,27.802,1.3885779999999917,0,15.299668,721,0,722,0
Unnamed 78,23936,1099757,336,video_av1,simulcast,1,0,28000.0,12570.427978515625,44.89438563755581,1229.572021484375,11.535739,2.986389,0.941521,1.275,27.774,3.2756419999999986,0,12.539107,447,0,447,3
Unnamed 79,26761,1308711,337,video_av1,simulcast,1,1,28000.0,9150.0,32.67857142857143,250.0,17.860720999999998,3.144967,1.151236,0.519,27.743,2.003163000000003,0,19.081423,535,0,536,2
Unnamed 80,27050,1695449,338,video_av1,simulcast,1,2,28000.0,3200.0,11.428571428571429,0.0,27.151313,3.719634,1.420111,0.792,27.802,1.6424999999999887,0,28.655869,682,0,683,3
Unnamed 81,27516,1707746,339,video_av1,simulcast,2,0,28000.0,0.0,0.0,0.0,28.252593,3.721209,1.415298,0.0,27.788,1.5638759999999925,0,29.752117,672,0,672,0
281,27395,1618226,34,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,9.872852,1.743398,1.597465,7.465,27.997,21.07423900000006,0,11.501054,541,107,543,5
Unnamed 82,27393,1746690,340,video_av1,simulcast,2,1,28000.0,0.0,0.0,0.0,26.788622,3.770815,1.507718,0.259,27.772,1.547411999999989,0,28.382728,693,0,695,1
Unnamed 83,27650,1759070,341,video_av1,simulcast,2,2,28000.0,0.0,0.0,0.0,30.063984,3.773345,1.428841,0.452,27.81,1.533795999999989,0,31.579744,704,0,705,2
