

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V414628560,1776269092513.757,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.004,0,192,0,0,141784,0,270,480,42,142,0,29,143,0,6148,0.40287,143,2.498071,2.498071,1,1776269092505.2861,0,0,0,0,0.15229299999999998,0.258928,0,5.269,0,0.678488,0.2529949999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092513.757,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.004,0,192,0,0,141784,0,270,480,42,142,0,29,143,0,6148,0.40287,143,2.498071,2.498071,1,1776269092505.2861,0,0,0,0,0.15229299999999998,0.258928,0,5.269,0,0.678488,0.2529949999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092713.75,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,201,0,0,148473,0,270,480,44,148,0,29,149,0,6436,0.419593,148,2.598616,2.598616,1,1776269092705.08,0,0,0,0,0.152355,0.27038799999999996,0,5.457,0,0.715652,0.2588869999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092713.75,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,201,0,0,148473,0,270,480,44,148,0,29,149,0,6436,0.419593,148,2.598616,2.598616,1,1776269092705.08,0,0,0,0,0.152355,0.27038799999999996,0,5.457,0,0.715652,0.2588869999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092913.714,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,209,0,0,154467,0,270,480,47,154,0,29,155,0,6692,0.45876999999999996,154,2.718355,2.718355,1,1776269092906.6812,0,0,0,0,0.15248,0.281845,0,5.66,0,0.767049,0.2659639999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269092913.714,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,209,0,0,154467,0,270,480,47,154,0,29,155,0,6692,0.45876999999999996,154,2.718355,2.718355,1,1776269092906.6812,0,0,0,0,0.15248,0.281845,0,5.66,0,0.767049,0.2659639999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269093113.83,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,219,0,0,163423,0,270,480,50,161,0,30,161,0,7012,0.513548,161,2.855188,2.855188,1,1776269093108.606,0,0,0,0,0.152608,0.294936,0,5.896,0,0.835758,0.2741299999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269093113.83,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,219,0,0,163423,0,270,480,50,161,0,30,161,0,7012,0.513548,161,2.855188,2.855188,1,1776269093108.606,0,0,0,0,0.152608,0.294936,0,5.896,0,0.835758,0.2741299999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269093313.669,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,226,0,0,168195,0,270,480,51,167,0,30,167,0,7236,0.579888,167,2.972339,2.972339,1,1776269093304.042,0,0,0,0,0.152638,0.306579,0,6.097,0,0.9144669999999999,0.2810229999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269093313.669,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,226,0,0,168195,0,270,480,51,167,0,30,167,0,7236,0.579888,167,2.972339,2.972339,1,1776269093304.042,0,0,0,0,0.152638,0.306579,0,6.097,0,0.9144669999999999,0.2810229999999997,fb4cb525-3d57-41e1-bb23-5738afe02bb8
